track_id,name,new_artist,row_index
0Dl34Kegtc0y0m0oPhQfiI,LA NENA DE ARGENTINA,Maria Becerra,151
3zJw3rugfpVrmBeDDnUYzy,Happy Xmas (War Is Over) - Remastered 2010,John Lennon,152
6TqXcAFInzjp0bODyvrWEq,Talk (feat. Disclosure),Khalid,153
3Ya6AUGGni7HPC5P9gh2bj,Пак ще се броиш,Emilia,154
5RTlMCZVt96sXsG3L2ideT,Psiquiatra do Bumbum (Bumbum Endoidado),Wesley Safadão,155
2OUffBn30YvuPbZ0SmBgNs,Jogando sujo,LUDMILLA,156
4QQTPEwqE4Aq7LXSyIgSci,Primeiro Beck Ela Me Mamou,Mc Kitinho,157
7HdWqZjUmIHK5B8zwPCRds,Áudio Que Te Entrega - Faixa Bônus,Leo Santana,158
2mh20y35EhzqMy6su3sJJA,哀的美敦書,Dear Jane,159
0NaXXkY7Lss2VF3sYISJXG,留下來的人,C AllStar,160
5tHHZJbJgs6zQmvqewePEf,離別的規矩,Jer 柳應廷,161
7nWkch2lxmVbHOgKabM8qd,燃えよ,Fujii Kaze,162
3ibqi5ANZtNI7QXOgUnFsL,それを愛と呼ぶなら,Uru,163
65pndcjVsNEJpwxfTgcdv0,Haa Tepok,MeerFly,164
5nsfVwWz1M1sug2ILCVygq,Satu Malam Di Temasek,Joe Flizzow,165
3yII7UwgLF6K5zW3xad3MP,22 (Taylor's Version),Taylor Swift,166
5lxItfla07vroV2vuGwe75,มีผลต่อหัวใจ,NONT TANONT,167
7ko8b14t80QKo8kFePQJsI,กลั้นใจ (feat. F.HERO),Wonderframe,168
4gNkIyfaf2iwPgeLSVIj8O,ลืมไปแล้วว่าลืมยังไง (Fade),Jeff Satur,169
3a2aBKuvgP1qHo3BqU3lGh,Todo Comienza en la Disco,Wisin,170
3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,171
7iHHlCbsFou5DZSW5HCPfs,Ella - Remix,Boza,172
4wcBRRpIfesgcyUtis7PEg,"1 step forward, 3 steps back",Olivia Rodrigo,173
48BdA5qBxXVoe59xvu0bwc,RAPPEL,Gazo,174
7jn2HBxZQS1BX4sxMlF3R9,Тръпката,Krisko,175
3r3Z6VpkIPqQnc7XZyIWmr,Земетръс,Lidia,176
4kkQGhScJDzNIIGavQE9SN,Corpo Sensual (feat. Mateus Carrilho),Pabllo Vittar,177
0nkDm27DGppCSk8dnGtvPa,Não sou obrigada,POCAH,178
3tc8Z4lGzOIwmIVftsxO6o,Graveto - Ao Vivo,Marília Mendonça,179
2QLbRVzixE282JSQjBz2DG,Liberdade (Quando o Grave Bate Forte),Alok,180
1a17gIb57XhPj2CMbqYABw,Pingo de Dó - Ao Vivo,Hugo & Guilherme,181
1ELsaYdj2NlxLvkx9g24xZ,Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo,Guilherme & Benuto,182
71efUiJwL11CRkI5aMplsi,Sentadona (Ai Calica),Davi Kneip,183
2bdqU7C4softKNcMYDFi96,chaotic,Tate McRae,184
4apKcYGPasaBCwmEVvGB0k,在月台上等你,Janice Vidal,185
3Tp3NMKc3zX2Yi1WfUecmF,聖誕很忙,MC 張天賦,186
5gCg2qMPzKkW4jS4dBKdDs,Puesto Pa' Guerrial,Bad Bunny,187
7aDTcAtL4HAXHTYmJBi9se,どうしよう,Tempalay,188
49o9ToewyZywgB5KlaB3WN,ความเงียบดังที่สุด,Getsunova,189
02fQLERHX9nqlnIfJOciua,มีแต่เธอในหัวใจ,Mindset,190
68WegIqMKDBhbvUoU7786d,Tsubasa (feat. No.1),Xir,191
1BzTI6CkluzAJsXFRkXTaR,Yemin Olsun,Ufo361,192
2b6i9zx3ULzKrNWmyP0ePD,C90 (Remix),John C,193
2WL6GQzPuK9Nrpy9XwNEbz,Something In The Way - Remastered,Nirvana,194
5T6gL9FrOwD6bNYFsy4twf,Wat Een Idee!?,Pommelien Thijs,195
5wG3HvLhF6Y5KTGlK0IW3J,Trance (with Travis Scott & Young Thug),Metro Boomin,196
1JpqwDolccy7XGrFINYLYy,Никога твой,Donika,197
0kCqaybZgYcLYxzZymmBoc,"Quem Pegou, Pegou - Ao Vivo",Henrique & Juliano,198
64ePZsgVWO1zRVpHxY2VYC,Maturidade (feat. Matheus & Kauan),Avine Vinny,199
6JIIejoN31NIn6BJsVS3cu,Oi Deus - Ao Vivo,Hugo & Guilherme,200
