country,year,name,artists,rank,genre
ar,2018,Adan y Eva,['Paulo Londra'],1,Reggaeton
ar,2018,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",2,Hybrid Trap
ar,2018,Cuando Te Besé,"['Becky G', 'Paulo Londra']",3,Reggaeton
ar,2018,MIA (feat. Drake),"['Bad Bunny', 'Drake']",4,Reggaeton
ar,2018,Vaina Loca,"['Ozuna', 'Manuel Turizo']",5,Reggaeton
ar,2018,Sin Culpa (feat. DrefQuila),"['Duki', 'DrefQuila']",6,Latin Rap
ar,2018,Te Boté - Remix,"['Nio Garcia', 'Casper Magico', 'Bad Bunny', 'Darell', 'Ozuna', 'Nicky Jam']",7,Pop Rap
ar,2018,Me Vas a Extrañar - En Vivo,"['Damas Gratis', 'Viru Kumbieron']",8,Cumbia Pop
ar,2018,Toda - Remix,"['Alex Rose', 'Cazzu', 'Rauw Alejandro', 'Lenny Tavárez']",9,Contemporary R&B
ar,2018,Ya No Tiene Novio,"['Sebastian Yatra', 'Mau y Ricky']",10,Reggaeton
ar,2019,China,"['Anuel AA', 'Daddy Yankee', 'KAROL G', 'J Balvin', 'Ozuna']",1,Reggaeton
ar,2019,Goteo,['Duki'],2,Trap
ar,2019,Fresa,"['TINI', 'Lalo Ebratt']",3,Latin Pop
ar,2019,RITMO (Bad Boys For Life),"['Black Eyed Peas', 'J Balvin']",4,Reggaeton
ar,2019,CANGURO,['WOS'],5,Hip Hop
ar,2019,Soltera (Remix),"['Lunay', 'Daddy Yankee', 'Bad Bunny']",6,Reggaeton
ar,2019,Que Tire Pa Lante,['Daddy Yankee'],7,Reggaeton
ar,2019,Leña para el Carbón,['DJ Alex'],8,Cumbia Pop
ar,2019,Callaita,"['Bad Bunny', 'Tainy']",9,Reggaeton
ar,2019,Tutu,"['Camilo', 'Pedro Capó']",10,Reggaeton
ar,2020,DÁKITI,"['Bad Bunny', 'Jhay Cortez']",1,Dancehall
ar,2020,Si Me Tomo Una Cerveza,"['Migrantes', 'Alico']",2,Cumbia Pop
ar,2020,Hawái,['Maluma'],3,Reggaeton
ar,2020,"Nathy Peluso: Bzrp Music Sessions, Vol. 36","['Bizarrap', 'NATHY PELUSO']",4,Hip Hop
ar,2020,Bésame,"['El Reja', 'Lira']",5,Cumbia Pop
ar,2020,BICHOTA,['KAROL G'],6,Reggaeton
ar,2020,Vida de Rico,['Camilo'],7,Latin Pop
ar,2020,Relación - Remix,"['Sech', 'Daddy Yankee', 'J Balvin', 'ROSALÍA', 'Farruko']",8,Reggaeton
ar,2020,LA NOCHE DE ANOCHE,"['Bad Bunny', 'ROSALÍA']",9,Reggaeton
ar,2020,Tattoo - Remix with Camilo,"['Rauw Alejandro', 'Camilo']",10,Latin Pop
ar,2021,Bar,"['TINI', 'L-Gante']",1,Latin Pop
ar,2021,Salimo de Noche,"['Tiago PZK', 'Trueno']",2,Reggaeton
ar,2021,Entre Nosotros,"['Tiago PZK', 'LIT killah']",3,Contemporary R&B
ar,2021,DANCE CRIP,['Trueno'],4,Funk Rap
ar,2021,TITAN,['Salastkbron'],5,RKT
ar,2021,Turraka - Remix,"['Kaleb Di Masi', 'Ecko', 'Papichamp', 'Blunted Vato', 'Bruno LC']",6,RKT
ar,2021,como si no importara,"['Emilia', 'Duki']",7,Pop Rap
ar,2021,Miénteme,"['TINI', 'Maria Becerra']",8,Reggaeton
ar,2021,Qué Más Pues?,"['J Balvin', 'Maria Becerra']",9,Reggaeton
ar,2021,Antes de Ti,"['Rusherking', 'Maria Becerra']",10,Latin Pop
ar,2022,"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']",1,Trap
ar,2022,La Bachata,['Manuel Turizo'],2,Latin Pop
ar,2022,DESPECHÁ,['ROSALÍA'],3,Latin Pop
ar,2022,AUTOMÁTICO,['Maria Becerra'],4,Reggaeton
ar,2022,cómo dormiste?,['Rels B'],5,Contemporary R&B
ar,2022,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",6,Reggaeton
ar,2022,Tu Turrito,"['Rei', 'Callejero Fino']",7,RKT
ar,2022,GIVENCHY,['Duki'],8,Trap
ar,2022,Ojitos Lindos,"['Bad Bunny', 'Bomba Estéreo']",9,Latin Pop
ar,2022,CALLEJERO FINO | Mission 10,"['Alan Gomez', 'Callejero Fino']",10,RKT
au,2018,"thank u, next",['Ariana Grande'],1,Contemporary R&B
au,2018,Sunflower - Spider-Man: Into the Spider-Verse,"['Post Malone', 'Swae Lee']",2,Synthpop
au,2018,Without Me,['Halsey'],3,Contemporary R&B
au,2018,Eastside (with Halsey & Khalid),"['benny blanco', 'Halsey', 'Khalid']",4,Contemporary R&B
au,2018,Be Alright,['Dean Lewis'],5,Folk Pop
au,2018,Happier,"['Marshmello', 'Bastille']",6,Electropop
au,2018,In My Feelings,['Drake'],7,Pop Rap
au,2018,Youngblood,['5 Seconds of Summer'],8,Electropop
au,2018,Better,['Khalid'],9,Alternative R&B
au,2018,when the party's over,['Billie Eilish'],10,Art Pop
au,2019,Circles,['Post Malone'],1,Indie Pop
au,2019,Dance Monkey,['Tones And I'],2,Dance-Pop
au,2019,ROXANNE,['Arizona Zervas'],3,Pop Rap
au,2019,Don't Start Now,['Dua Lipa'],4,Dance-Pop
au,2019,ME! (feat. Brendon Urie of Panic! At The Disco),"['Taylor Swift', 'Brendon Urie']",5,Pop
au,2019,Señorita,"['Shawn Mendes', 'Camila Cabello']",6,Contemporary R&B
au,2019,bad guy,['Billie Eilish'],7,Alternative Pop
au,2019,Memories,['Maroon 5'],8,Contemporary R&B
au,2019,Talk,"['Khalid', 'Disclosure']",9,House
au,2019,everything i wanted,['Billie Eilish'],10,Ambient Pop
au,2020,Mood (feat. iann dior),"['24kGoldn', 'iann dior']",1,Pop Rap
au,2020,WAP (feat. Megan Thee Stallion),"['Cardi B', 'Megan Thee Stallion']",2,Trap
au,2020,positions,['Ariana Grande'],3,Contemporary R&B
au,2020,Blinding Lights,['The Weeknd'],4,Synthpop
au,2020,ROCKSTAR (feat. Roddy Ricch),"['DaBaby', 'Roddy Ricch']",5,Trap
au,2020,Therefore I Am,['Billie Eilish'],6,Electropop
au,2020,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",7,Dance-Pop
au,2020,SO DONE,['The Kid LAROI'],8,Pop Rap
au,2020,Holy (feat. Chance The Rapper),"['Justin Bieber', 'Chance the Rapper']",9,Contemporary R&B
au,2020,All I Want for Christmas Is You,['Mariah Carey'],10,Christmas
au,2021,STAY (with Justin Bieber),"['The Kid LAROI', 'Justin Bieber']",1,Synthpop
au,2021,Easy On Me,['Adele'],2,Adult Contemporary
au,2021,good 4 u,['Olivia Rodrigo'],3,Pop Rock
au,2021,Bad Habits,['Ed Sheeran'],4,Dance-Pop
au,2021,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",5,Dance-Pop
au,2021,Heat Waves,['Glass Animals'],6,Alternative Pop
au,2021,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",7,Trap
au,2021,Shivers,['Ed Sheeran'],8,Dance-Pop
au,2021,All I Want for Christmas Is You,['Mariah Carey'],9,Christmas
au,2021,Kiss Me More (feat. SZA),"['Doja Cat', 'SZA']",10,Contemporary R&B
au,2022,Anti-Hero,['Taylor Swift'],1,Synthpop
au,2022,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",2,Trap
au,2022,Lavender Haze,['Taylor Swift'],3,Alternative Pop
au,2022,Kill Bill,['SZA'],4,Alternative Pop
au,2022,As It Was,['Harry Styles'],5,Indie Pop
au,2022,Midnight Rain,['Taylor Swift'],6,Alternative Pop
au,2022,Maroon,['Taylor Swift'],7,Alternative Pop
au,2022,Snow On The Beach (feat. Lana Del Rey),"['Taylor Swift', 'Lana Del Rey']",8,Alternative Pop
au,2022,"You're On Your Own, Kid",['Taylor Swift'],9,Alternative Pop
au,2022,Karma,['Taylor Swift'],10,Synthpop
be,2018,In My Mind,\['Dynoro',1,House
be,2018,"thank u, next",['Ariana Grande'],2,Contemporary R&B
be,2018,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","['DJ Snake', 'Selena Gomez', 'Ozuna', 'Cardi B']",3,Hybrid Trap
be,2018,One Kiss (with Dua Lipa),"['Calvin Harris', 'Dua Lipa']",4,Dance-Pop
