track_id,name,new_artist,row_index
59PYgzOiOjGDzjDT5N5oOX,Asesina - Remix,Brytiago,1951
1fxwD70zSHgakPFIAC0pz7,Ahora no,FMK,1952
2fuCquhmrzHpu5xcA1ci9x,Under Pressure - Remastered 2011,Queen,1953
6Sq7ltF9Qa7SNFBsV5Cogx,Me Porto Bonito,Bad Bunny,1954
2LgxW2t2H6lAf7tJuOnxxj,Antes de Perderte,Duki,1955
36orMWv2PgvnzXsd5CJ0yL,Post Malone (feat. RANI),Sam Feldt,1956
3KIpIAXqz7tRfcUUHVXdr8,Welcome to Prison,ONEFOUR,1957
2TOzTqQXNmR2zDJXihjZ2e,enough for you,Olivia Rodrigo,1958
3Oww84xrmgjyr5J1ilOmAf,Down Under (feat. Colin Hay),Luude,1959
0GLrISF5TyyW87eT4f69c7,Сметката,Boro Purvi,1960
4Ev6d2Dbnq51uPUvI2kkbw,Любовта е гадно нещо,Fiki,1961
3Ghyp3X5Ua9ypHnBIgOObI,Liberdade Provisória - Ao Vivo,Henrique & Juliano,1962
2M4kQD87lKnAS9vFlb4Bez,Pactos - Ao Vivo,Matheus & Kauan,1963
4GAyYOUggQb4gxp3PGKcHc,搞不懂,陳卓賢 Ian,1964
4z1785BRf6Rn5OjepmdUMQ,紅顏如霜,Jay Chou,1965
7mlHSPccMPEiGYxWUqEURC,ヒカリヘ,miwa,1966
2gbVuqze7bpndIy1q9rFvv,グッバイ宣言,Chinozo,1967
17zp5n2rbiRJzQtCaZpXDD,世界のつづき,Ado,1968
3bbIIVIwBoLqVcLebiEJFo,のびしろ,Creepy Nuts,1969
4Wg6Ggb6DY8OmlFQvvHO9b,Gavilán o Paloma,José José,1970
1O0IFR3MYqgQbziKTCf0X4,911 - En Vivo,Fuerza Regida,1971
0O2GtSCle8Eujbc1Voh2VY,Bukti,Virgoun,1972
4RAR8g8fZNB106ezUurnE0,Dancing Feet (feat. DNCE),Kygo,1973
76NFE0kT6uf20zOpyhXoGJ,เข้าฝัน (In my dreams),Stamp,1974
3Js0tYhiLhVXHskoOF0jLh,บานปลาย (best wishes),BOWKYLION,1975
0rVOPDyrWtAH6Bmxu3FSJh,ตัวเลือก ตัวรอ (Can't Have It All),Tilly Birds,1976
3prFQhGuWBWLGHsQstEdkb,yarım kalır,Sefo,1977
1iFGzZThVz7rYr2uqaTffV,Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum,Barış Diri,1978
5N1o6d8zGcSZSeMFkOUQOk,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign),Megan Thee Stallion,1979
0VsGaRXR5WAzpu51unJTis,Best Part of Me (feat. YEBBA),Ed Sheeran,1980
6F2r4HgpJnvKDmkN6JEN6J,As I Am (feat. Khalid),Justin Bieber,1981
4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),David Guetta,1982
6mdU8glNHYdBBj5DuKSL1B,Perrengue - Ao Vivo,Gusttavo Lima,1983
4j2bK4fnc2s6GyVmhJsJhk,Briga Feia - Ao Vivo,Henrique & Juliano,1984
48CAeajgzcGJaVUSsXd7h0,Declaração pro Bar - Ao Vivo,Guilherme & Benuto,1985
5mJFh4iRzgmWuEVPG8257V,Quem Não Conhece Tá Sem Internet,MC Marks,1986
4SCnCPOUOUXUmCX2uHb3r7,Outta Time (feat. Drake),Bryson Tiller,1987
5aubXDnDNVKA5pS7EnR0mp,So High (feat. Fredo),MIST,1988
4MZSqgwlE71CWZ6qQ3gkKm,<3,Bad Bunny,1989
6xdLJrVj4vIXwhuG8TMopk,Crazy Little Thing Called Love - Remastered 2011,Queen,1990
09Mn2O6dtMLCKdeD0BtLdO,เป็นไรไหม?,OG-ANIC,1991
6GVBXMArxujxWfZx3vGvgC,ไม่อยากเหงาแล้ว(Call me) feat. Meyou,Ink Waruntorn,1992
0C7OwfDvT7liF1V3LVAzS1,Si Me Tomo Una Cerveza - Remix,Alan Gomez,1993
45dlaEXrXW47TVbrQ4gK7E,Tu Turrito,Rei,1994
2vXKRlJBXyOcvZYTdNeckS,Lost in the Fire (feat. The Weeknd),Gesaffelstein,1995
39JofJHEtg8I4fSyo7Imft,B.O.T.A. (Baddest Of Them All) - Edit,Eliza Rose,1996
4NQK5RwcwoQCjsMONIiXEo,NEIZBEJNO POLOJENIE,V:RGO,1997
2Gmyw5Vg2X5YW2lM3OC7nD,春を告げる,yama,1998
2YbNZLoiREBYZo4HeKB8Np,ミスター,YOASOBI,1999
2hHeGD57S0BcopfVcmehdl,Hati-Hati di Jalan,Tulus,2000
