track_id,name,new_artist,row_index
58c6US9oMx1ld3C6VoQdfZ,Selamat Tinggal Sayang,Haqiem Rusli,1751
3tHQCaaMJ0TTTdNHcmSVpC,Ne se otkazvat,DENIS TEOFIKOV,1752
0UaifxJAqEonLPX03q4lBA,งูงู้ (SNAKE),THE TOYS,1753
0vxPY5zo69nPxKmmRRx2fQ,Aidilfitri,Sanisah Huri,1754
0R6Jlsq25eZB3Wftpxi3oF,Jonestown (Interlude),Post Malone,1755
5wTM2Bm8phDwHAuOsfBwhU,2000 Miles - 2007 Remaster,Pretenders,1756
5r9CZJMoMmxio2AnJdxuDS,Pot-Pourri: Melhor Eu Ir / Ligando Os Fatos / Sonho de Amor / Deixa Eu Te Querer - Ao Vivo,Grupo Menos É Mais,1757
052Yyc2Jglj64e5CMbqdF4,"Rover (Remix) [feat. Hooligan Hefs, Youngn Lipz and Hooks]",S1mba,1758
1DpcC4aayrSlMSHqnHmJrf,Helgen,Greekazo,1759
7uBaKZZVK0OZ6cqFGpGRXI,Don’t Need Love (with GRACEY),220 KID,1760
5IaHrVsrferBYDm0bDyABy,Taste (feat. Offset),Tyga,1761
5lLNBIyjp72btcnrjBG751,t h e . c l i m b . b a c k,J. Cole,1762
3bkd2gMPwfjBD9tRSrn7dU,ISKAM PAK,EMIL TRF,1763
2MZQAvsA7aZDssppBLRxYp,Batom de Cereja - Ao Vivo,Israel & Rodolffo,1764
2VbKpQWIMRelKmEy8rSCAf,Set Tatuapé Conceito 2,MC Joãozinho VT,1765
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,1766
3yHXEidSu4gYVRqKoI653O,Assunto Delicado - Ao Vivo,Guilherme & Benuto,1767
3JFB72hbbt3zy30puJTc3q,Medley Lud Session - Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3,LUDMILLA,1768
0vjQN0F7VjLSiw49em2hq1,Vingadora - Ao Vivo,Gusttavo Lima,1769
2Qv0DF1us4LhzLj0Cx9cSn,Turraka - Remix,Kaleb Di Masi,1770
7rGfXJN92ttB0FX0FWtHGR,Selamat Hari Raya,Puan Sri Saloma,1771
4IkQXb1IdIziAJmO3FODo7,是但求其愛,Eason Chan,1772
60SdxE8apGAxMiRrpbmLY0,Lucky You (feat. Joyner Lucas),Eminem,1773
4e7zJGvRa4Da4uutIgi9uI,Faller (Falter),Stig Brenner,1774
1qy7aOHnfnOMJoT1fhoLYG,Intenção - Ao Vivo,Marília Mendonça,1775
4HBkmhv0wxYXz2BGH0aqgU,lonely,Maria Petra,1776
1ldMLpWMFcD28gbd9TICkv,我該放手,JC 陳詠桐,1777
4pbJqGIASGPr0ZpGpnWkDn,We Will Rock You - Remastered 2011,Queen,1778
3QrBrMbPxOWcCYcwSlxliL,Output Nr.1 – Varoş,Vio,1779
52xJxFP6TqMuO4Yt0eOkMz,We Don't Talk About Bruno,Carolina Gaitán - La Gaita,1780
589KeND3ebjbfhs5GfGGyx,Грешна си,Krisko,1781
7DbdUf8aHSYoliSjO6LZv6,"Sex, Drugs, Etc.",Beach Weather,1782
7benotyTvLY2vUsDKtxbiA,Café e Amor - Ao Vivo,Gusttavo Lima,1783
6MCqARqpbUAGUIvWh8bxaw,PLACEBO + 野田洋次郎,Kenshi Yonezu,1784
5WFgOLufm9ZVXwVhFy6OoJ,"Polimá Westcoast: Bzrp Music Sessions, Vol. 19",Bizarrap,1785
0gEewSHZqPiNQa9DqeeUXj,วัดปะหล่ะ? (Test Me),4EVE,1786
2nqio0SfWg6gh2eCtfuMa5,Fifteen (Taylor’s Version),Taylor Swift,1787
3CE1HoJJ0FVKo7JHsWIuvC,說散就散,JC 陳詠桐,1788
5t7E1z1kVtHyPxWNmUtXN4,Te Love - Ao Vivo,Kevi Jonny,1789
4OAuvHryIVv4kMDNSLuPt6,Red (Taylor's Version),Taylor Swift,1790
3SEPI4YkmPsiDutWBjZjmZ,Gladen,Itzo Hazarta,1791
1gZFRYcPz3wKevEaNYRwfW,Time - Edit,NF,1792
6KHsTu4Ht4XYiWcZOOdwbW,Chop (Nouvelle École),Fresh,1793
6mUclBcqOp65gflMeu2UWR,ไม่มีเธอไม่ตาย,Gam Wichayanee,1794
7jo1ash37IUB5NyviV7ajO,勿念,Yoyo Sham,1795
4cLi9bZRMvDITlmKdo6D2l,Без теб,Mom4eto,1796
7nVTeSpry1cMbgyCmSd1ae,ดึกแล้วอย่าเพิ่งกลับ,Jaonaay,1797
184XtKkzoAl83quIarUAJP,YES or YES,TWICE,1798
5Z4TYur0O9OxmxIo6GC2Gq,"Oi, Como Ce Tá?",Vulgo FK,1799
5Qf8dlJ2zZTfztx7o7kbDN,Düşer Aklıma,Semicenk,1800
